file	genus	species	lineage
L.aquatica_SRR1184212.fasta	Listeria	aquatica	
L.cornellensis_SRR1184577.fasta	Listeria	cornellensis	
L.fleishmanii_LU2006-1.fasta	Listeria	fleishmanii	
L.floridensis_SRR1184556.fasta	Listeria	floridensis	
L.grandensis_SRR1184683.fasta	Listeria	grandensis	
L.innocua_H0996.fasta	Listeria	innocua	
L.marthii_2012L-5524.fasta	Listeria	marthii	
L.ivanovii_F4081.fasta	Listeria	ivanovii	
L.welshimeri_F4082.fasta	Listeria	welshimeri	
L.murrayi_F4076.fasta	Listeria	murrayi	
L.grayi_SRR013525.fasta	Listeria	grayi	
L.seeligeri_F4080.fasta	Listeria	seeligeri	
L.monocytogenes_2014L-6025.fasta	Listeria	monocytogenes	I
L.monocytogenes_2011L-2676.fasta	Listeria	monocytogenes	II
L.monocytogenes_2013L-5061.fasta	Listeria	monocytogenes	III
L.monocytogenes_F6214.fasta	Listeria	monocytogenes	IV
L.weihenstephanensis_SRR1185118.fasta	Listeria	weihenstephanensis	
L.riparia_SRR1185104.fasta	Listeria	riparia	
L.rocourtiae_SRR1185116.fasta	Listeria	rocourtiae	
