file	genus	species	subspecies	serotype
SRR1184212.fasta	Listeria	aquatica		
SRR1184577.fasta	Listeria	cornellensis		
LU2006-1.fasta	Listeria	fleishmanii		
SRR1184556.fasta	Listeria	floridensis		
SRR1184683.fasta	Listeria	grandensis		
SRR1185119.fasta	Listeria	grayi		
H0996.fasta	Listeria	innocua		
F4081.fasta	Listeria	ivanovii		
2012L-5524.fasta	Listeria	marthii		
2013L-5347.fasta	Listeria	monocytogenes	I	1/2b
2014L-6438.fasta	Listeria	monocytogenes	I	4b
2013L-5409.fasta	Listeria	monocytogenes	II	1/2a
2013L-5369.fasta	Listeria	monocytogenes	II	1/2c
2013L-5061.fasta	Listeria	monocytogenes	III	4b
F6214.fasta	Listeria	monocytogenes	IV	4
F4076.fasta	Listeria	murrayi		
SRR1185104.fasta	Listeria	riparia		
SRR1185116.fasta	Listeria	rocourtiae		
F5761.fasta	Listeria	seeligeri		
SRR1185118.fasta	Listeria	weihenstephanensis		
F4082.fasta	Listeria	welshimeri		
