file	genus	species	subspecies	serotype
SRR1184212.fasta	Listeria	aquatica		
SRR1184577.fasta	Listeria	cornellensis		
LU2006-1.fasta	Listeria	fleishmanii		
SRR1184556.fasta	Listeria	floridensis		
SRR1184683.fasta	Listeria	grandensis		
SRR1185119.fasta	Listeria	grayi		
H0996.fasta	Listeria	innocua		
2010L-2059.fasta	Listeria	innocua		
PAM55.fasta	Listeria	ivanovii		
2012L-5524.fasta	Listeria	marthii		
G4599.fasta	Listeria	monocytogenes	I	1/2b
2011L-2626.fasta	Listeria	monocytogenes	II	1/2a
2014L-6393.fasta	Listeria	monocytogenes	III	4b
J0099.fasta	Listeria	monocytogenes	III	4c
2014L-6256.fasta	Listeria	monocytogenes	IV	4b
SRR1185104.fasta	Listeria	riparia		
SRR1185116.fasta	Listeria	rocourtiae		
F5761.fasta	Listeria	seeligeri		
SRR1185118.fasta	Listeria	weihenstephanensis		
SLCC5334.fasta	Listeria	welshimeri		
